symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
QQQ,2017-07-24 00:00:00+00:00,144.77,144.87,143.92,144.07,26712732,140.0857992618,140.1825636462,139.2633019946,139.4084485712,26712732,0.0,1.0
QQQ,2017-07-25 00:00:00+00:00,144.4,144.74,144.01,144.29,28120884,139.7277710396,140.0567699465,139.3503899406,139.6213302168,28120884,0.0,1.0
QQQ,2017-07-26 00:00:00+00:00,144.87,144.95,144.53,144.74,18610634,140.1825636462,140.2599751537,139.8535647393,140.0567699465,18610634,0.0,1.0
QQQ,2017-07-27 00:00:00+00:00,143.96,145.96,142.3,145.86,80665866,139.3020077484,141.2372954359,137.6957189677,141.1405310515,80665866,0.0,1.0
QQQ,2017-07-28 00:00:00+00:00,143.84,144.0752,142.87,143.14,38013176,139.1858904871,139.4134803192,138.2472759587,138.5085397965,38013176,0.0,1.0
QQQ,2017-07-31 00:00:00+00:00,143.23,144.43,142.92,144.22,33848645,138.5956277424,139.7568003549,138.2956581508,139.5535951477,33848645,0.0,1.0
QQQ,2017-08-01 00:00:00+00:00,143.56,143.76,143.12,143.7,20149421,138.9149502109,139.1084789796,138.4891869196,139.050420349,20149421,0.0,1.0
QQQ,2017-08-02 00:00:00+00:00,143.95,144.52,142.61,144.45,41769667,139.2923313099,139.8438883009,137.9956885593,139.7761532318,41769667,0.0,1.0
QQQ,2017-08-03 00:00:00+00:00,143.39,144.17,143.13,144.17,27077574,138.7504507574,139.5052129556,138.498863358,139.5052129556,27077574,0.0,1.0
QQQ,2017-08-04 00:00:00+00:00,143.65,143.97,143.06,143.65,29472909,139.0020381568,139.3116841868,138.431128289,139.0020381568,29472909,0.0,1.0
QQQ,2017-08-07 00:00:00+00:00,144.56,144.56,143.71,143.89,17933942,139.8825940546,139.8825940546,139.0600967874,139.2342726793,17933942,0.0,1.0
QQQ,2017-08-08 00:00:00+00:00,144.31,145.47,143.9,144.27,30810364,139.6406830937,140.7631499524,139.2439491177,139.6019773399,30810364,0.0,1.0
QQQ,2017-08-09 00:00:00+00:00,144.12,144.19,142.795,143.14,36169473,139.4568307634,139.5245658324,138.1747026704,138.5085397965,36169473,0.0,1.0
QQQ,2017-08-10 00:00:00+00:00,141.03,143.4,140.89,143.33,63331663,136.4668112861,138.7601271959,136.331341148,138.6923921268,63331663,0.0,1.0
QQQ,2017-08-11 00:00:00+00:00,142.1,142.41,140.9,141.24,45862488,137.502190199,137.8021597905,136.3410175864,136.6700164933,45862488,0.0,1.0
QQQ,2017-08-14 00:00:00+00:00,143.93,144.15,143.19,143.23,34048099,139.272978433,139.4858600787,138.5569219887,138.5956277424,34048099,0.0,1.0
QQQ,2017-08-15 00:00:00+00:00,144.03,144.302,143.64,144.22,25509181,139.3697428174,139.6329419429,138.9923617184,139.5535951477,25509181,0.0,1.0
QQQ,2017-08-16 00:00:00+00:00,144.28,144.96,143.8007,144.37,31913002,139.6116537784,140.2696515921,139.147862084,139.6987417243,31913002,0.0,1.0
QQQ,2017-08-17 00:00:00+00:00,141.33,143.94,141.33,143.73,70190975,136.7571044393,139.2826548715,136.7571044393,139.0794496643,70190975,0.0,1.0
QQQ,2017-08-18 00:00:00+00:00,141.23,142.2,140.65,141.43,60673232,136.6603400549,137.5989545833,136.0991066255,136.8538688236,60673232,0.0,1.0
QQQ,2017-08-21 00:00:00+00:00,141.05,141.53,140.18,141.23,37111487,136.486164163,136.950633208,135.6443140189,136.6603400549,37111487,0.0,1.0
QQQ,2017-08-22 00:00:00+00:00,143.2,143.35,141.76,141.8,36294232,138.5665984271,138.7117450037,137.1731912921,137.2118970458,36294232,0.0,1.0
QQQ,2017-08-23 00:00:00+00:00,142.69,143.01,142.38,142.5,25587860,138.0731000668,138.3827460968,137.7731304752,137.8892477365,25587860,0.0,1.0
QQQ,2017-08-24 00:00:00+00:00,142.27,143.17,141.47,143.03,38160803,137.6666896524,138.5375691118,136.8925745774,138.4020989737,38160803,0.0,1.0
QQQ,2017-08-25 00:00:00+00:00,141.97,143.18,141.78,142.8,26380436,137.3763964993,138.5472455502,137.192544169,138.1795408896,26380436,0.0,1.0
QQQ,2017-08-28 00:00:00+00:00,142.41,142.74,141.9501,142.41,15362141,137.8021597905,138.121482259,137.3571403868,137.8021597905,15362141,0.0,1.0
QQQ,2017-08-29 00:00:00+00:00,142.97,143.21,141.06,141.18,24498333,138.344040343,138.5762748655,136.4958406014,136.6119578627,24498333,0.0,1.0
QQQ,2017-08-30 00:00:00+00:00,144.65,144.89,143.0,143.11,33642716,139.9696820006,140.2019165231,138.3730696583,138.4795104812,33642716,0.0,1.0
QQQ,2017-08-31 00:00:00+00:00,146.2,146.21,144.98,145.03,38480747,141.4695299584,141.4792063968,140.289004469,140.3373866612,38480747,0.0,1.0
QQQ,2017-09-01 00:00:00+00:00,146.0,146.585,145.61,146.36,22293553,141.2760011896,141.8420728382,140.8986200906,141.6243529734,22293553,0.0,1.0
QQQ,2017-09-05 00:00:00+00:00,144.69,145.88,143.6,145.55,45480562,140.0083877543,141.1598839284,138.9536559646,140.8405614599,45480562,0.0,1.0
